Gene Name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	2.9586579369126293	-5.249392394148059	1.757052203674205	-2.9876132212639765	0.002811651298648028	0.007235061541868103
A2M	153.50456734466587	6.630527772176155	0.5192727400926019	12.768873195603781	2.446707700156067e-37	1.1501483556893638e-34
A2M-AS1	2.132929175508502	5.498319650636192	2.5323157978697193	2.171261441902937	0.029911415208002085	0.05355255202992695
A4GALT	25.60846213530799	5.6213155959706125	0.8128156714772294	6.915855332555668	4.650487982220619e-12	9.108755794509452e-11
AAAS	21.17016290197543	1.2963077798046907	0.40753991735549144	3.1808118041942364	0.001468630011972776	0.0041560506615377696
AACS	4.521188773114713	0.44457057138917694	0.715743368663474	0.6211312473901575	0.5345132712260539	0.607857554039925
AADAT	1.956564641387836	0.07024202629504667	1.0754907286282194	0.06531160560039402	0.9479259021417636	0.9599847974764196
AAED1	9.131799208265665	1.4303070101429727	0.5523278875478398	2.5895976690459737	0.009608816075949161	0.020591321393974203
AAGAB	9.791351481353972	-0.4015563194363255	0.573706333776168	-0.6999335649534472	0.4839687946200476	0.558813251559717
AAK1	10.014015548814372	-1.2300122741803419	0.6402950833828005	-1.9210084632884474	0.05473064052422449	0.08872871947036641
AAMDC	22.86137934939236	-1.0458772212572078	0.5113741543238515	-2.045228943257968	0.04083229228797364	0.06946454820038596
AAMP	41.58352750111043	2.285296662793403	0.3708736714950063	6.161927465978598	7.186477039174365e-10	9.373526988277152e-09
AAR2	12.67044456975091	-0.5650914992039731	0.4596132471848794	-1.2294934984253514	0.21888683400574427	0.2879446849022036
AARS	32.479228883862156	1.3286227999442157	0.36912661109763983	3.599368780249696	0.00031899054779471254	0.0011183702021728705
AARS2	4.160707118721332	0.5879327840156746	0.7600675575548098	0.773527008450532	0.4392105510031663	0.5169176668919288
AARSD1	20.631928663749044	7.321469048484225	1.4831337290561761	4.936486107118203	7.954270087115028e-07	5.699913540474135e-06
AASDH	3.212389419355205	-0.8948929292284928	0.8014792024134924	-1.1165516541585907	0.2641860726929629	0.33694389633937305
AASDHPPT	18.28517448569836	-1.0852074783980918	0.4239284315482448	-2.5598836917702488	0.010470719963311533	0.022195508839977836
AASS	12.811670539658794	1.630240945443607	0.6791106777226127	2.4005526623592424	0.016370335031514444	0.032273809308900815
AATF	9.555362428202482	7.626533758171682	2.4084290106914894	3.1666010184713778	0.001542317668695298	0.004329244962670158
AATK	1.9703556480026774	5.371641121657596	2.5380995363874397	2.1164028615297057	0.034310558915376856	0.05998477958546695
ABAT	4.278143392972223	5.076992554759687	1.8276818050919723	2.7778317542008923	0.005472294512023018	0.012808286218939357
ABCA1	29.7498355573132	-5.090637532842702	0.6010631728101707	-8.469388515423885	2.4668458917484072e-17	1.132436442180753e-15
ABCA10	8.06759881788526	0.6696102220233396	0.9816305678345071	0.6821407604497389	0.495149948923445	0.5689286468271729
ABCA11P	1.2406865098402968	-1.1403279377012208	1.369693465326015	-0.8325424385592723	0.40510283412106074	0.4836213436195353
ABCA2	8.95816301258605	3.7492777151490464	0.8033703278278981	4.6669357645883025	3.057248557367554e-06	1.912122674091724e-05
ABCA3	2.9480593304799485	4.462057178178283	1.6231317660521223	2.749041865548085	0.00597697515590027	0.013801938029287334
ABCA5	4.642655794911902	0.2148220940853208	0.7186224895005103	0.2989359465143322	0.7649889190948596	0.8116783836405552
ABCA6	15.11823636698392	-0.441997408223268	0.5228937049976038	-0.8452911251346839	0.39794831493877414	0.4764352686593799
ABCA7	1.4767324690803956	3.457911569478605	1.7631742588719	1.9611853746611627	0.0498574023227092	0.0821542613707906
ABCA8	44.310816329375434	0.8331139706329421	0.7340186361430432	1.1350038399714248	0.2563737094642379	0.3289196324916729
ABCA9	21.527603258484696	0.023916666137252445	0.7241659433848604	0.0330264994587599	0.9736534556522805	0.980915165951616
ABCB10	4.845786910583825	-0.3132791596515586	0.6644015598498123	-0.4715208069685677	0.6372688646819966	0.6995967956789186
ABCB6	15.318786982860306	1.568809526679324	0.4570658756414074	3.4323488369762676	0.0005983773522605234	0.0019166341356679397
ABCB7	14.586107335099197	0.8638577209201848	0.49697182585767624	1.7382428459185493	0.08216803240342999	0.124454016858501
ABCB8	6.166476052400883	1.5023832279194111	0.6642925877024091	2.261628769810166	0.023720348957903294	0.044121801353795426
ABCC1	6.002617702805701	2.1622331491686024	0.7754079923720272	2.7885102687092256	0.0052951068742233065	0.012477035322375912
ABCC10	4.076383478755045	0.6136051563109954	0.7613028049798052	0.8059935577503518	0.4202465637002989	0.4986750896417443
ABCC4	1.445168865673866	-4.22627802921613	2.0240028834889956	-2.088079055465984	0.03679070402354454	0.06366725867835303
ABCC5	14.64348727553639	1.9597459598620548	0.4981534973530161	3.9340202774352546	8.353673126667241e-05	0.0003535195051659828
ABCC9	10.659242302404474	7.733431844384407	2.422841300712118	3.191885428943038	0.001413473872111111	0.004021095363120255
ABCD1	5.926450783269659	3.5135048548054297	0.9399050974648981	3.738148526145902	0.0001853804248337711	0.000702771210531122
ABCD2	1.2227022277760313	2.1838677050422115	1.4963850174662015	1.4594290102824676	0.14444706621397935	0.20190851154588593
ABCD3	12.161840530514535	-0.6792427183031333	0.4719627188114794	-1.4391872307491511	0.1500974822802701	0.2086768735073624
ABCD4	9.16223706217587	0.5450859198309399	0.6162058793026242	0.884584094601349	0.37638098823937416	0.45469051950957284
ABCE1	18.94078996930843	-1.0995263214026456	0.4165608844757296	-2.6395332888407776	0.008302026937885012	0.01817876291671784
