Gene Name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	4.803319742085242	-5.970501516732227	1.5794823255564212	-3.78003692737045	0.00015680510081373197	0.0007484930061144529
A2M	150.8431271057331	11.52517652672651	2.391034244840523	4.820163722705367	1.4344045372496291e-06	1.1711698081385595e-05
A2M-AS1	2.1060768171160094	5.418116663936237	2.4985345160810697	2.1685178367815814	0.030119309005276998	0.062361381540378326
A4GALT	25.08038491679966	8.967071945947145	2.39957631475086	3.7369396800693813	0.00018627358710803906	0.0008735036052726746
AAAS	26.02925119098105	-0.17460707529101074	0.2825125542269285	-0.6180506766108435	0.5365419339542927	0.6346582078729056
AACS	5.490222498258966	-0.5092584245557141	0.5389566248550852	-0.9448968638109674	0.34471153281685907	0.44674067639291476
AADAT	1.8529048796894183	0.3449938125323072	0.9372683419712969	0.36808435437678777	0.7128103366015338	0.7906601254499013
AAGAB	8.709936354908468	0.07396957468110861	0.43604502299700687	0.16963747039859312	0.8652952524947162	0.9034671111305065
AAK1	6.452634754906858	0.5888360260286736	0.7029069792736704	0.8377154351734152	0.4021905424825627	0.5057869942499209
AAMDC	21.00795159106791	-0.7969538182308505	0.36800428416413894	-2.1656101641343652	0.030340989031968146	0.06270831953676761
AAMP	50.26902467248866	0.322019656796074	0.23752368403118	1.3557370420113648	0.17518284915621596	0.2577951663580607
AAR2	11.309103661770825	-0.12070174213189913	0.39207041377539165	-0.30785730800143074	0.7581909123214668	0.8248027114798603
AARS2	4.283535044490562	0.29327649303181164	0.6146843106071594	0.477117258356774	0.6332786258778498	0.7227909682317859
AARSD1	23.776400909421962	1.2766238378092025	0.3021660282885305	4.224908554545343	2.390378227872354e-05	0.0001444106524157159
AASDH	2.4859363399072025	0.12837448956312486	0.7840232940559685	0.16373810642667036	0.8699373177803535	0.9067804757731383
AASDHPPT	16.342975415264064	-0.7440155839108433	0.3403030311980523	-2.1863325204348096	0.0287912865570894	0.06016254544513138
AASS	12.50601803691266	1.8402140898227146	0.6960333391041237	2.6438591177130757	0.008196676432082488	0.021540312149734862
AATF	12.532852942753754	0.28879438774661004	0.37766354429951066	0.7646869604061602	0.44445797270778054	0.5466112518854358
AATK	1.9448039099619514	5.28922425225693	2.500596996519008	2.1151845977660018	0.03441421715068076	0.06941918659846175
ABAT	4.386031373019093	3.3797538102768963	1.4131996687885715	2.391561422579515	0.016776876511831094	0.038805025447859416
ABCA1	3.2326448892322466	-0.5914329690640407	0.7897498914206585	-0.7488864202312568	0.4539256658684807	0.5564629629915647
ABCA10	6.44317555111325	5.486960742972926	1.8463147404201516	2.971844736355352	0.0029601634048725717	0.009242125181245803
ABCA11P	1.1193806552297776	-0.862364447595334	1.2510081686381755	-0.6893355848619983	0.4906121094135891	0.5914187612824379
ABCA2	10.203194771789205	1.0792578585930777	0.43489668769196566	2.481641937354806	0.013077861465093297	0.03165412914390312
ABCA3	2.865415553281361	5.795690747246433	2.4611962106738154	2.35482677980384	0.018531341905655314	0.041941892757051055
ABCA5	4.720951967075292	0.03989919051589831	0.5869802677058958	0.06797364870856211	0.9458066110390247	0.9624191254785285
ABCA6	9.810504115103466	7.537287231106963	2.4446169044619834	3.083218158783773	0.0020477497695953004	0.0068177316955254875
ABCA7	2.3507150850867276	-0.7417677338776894	0.8064121821185959	-0.9198369646759633	0.3576579634117816	0.4605096373355684
ABCA8	36.97292419589851	3.4103666072043866	0.8529404372104371	3.9983643152833452	6.378172694063371e-05	0.00034189972232130395
ABCA9	15.31526185590415	8.205988349283636	2.5354840495933977	3.23645828124992	0.001210229152231765	0.00437448933011156
ABCB1	1.066127642151683	4.47920552339147	2.8268270650422953	1.584534681581044	0.11307209579836042	0.1793175628789558
ABCB10	4.188530483308845	0.36627309689788523	0.6234155146172812	0.5875264383221882	0.5568501995437805	0.6538407613373581
ABCB6	13.704640510839917	3.8235824987714393	0.6332984114147969	6.037568435122877	1.5645381778241554e-09	2.2757954610922728e-08
ABCB7	16.702260489493224	-0.019059107081170697	0.3957165130656405	-0.04816353741095768	0.9615859093762765	0.9716378949404865
ABCB8	7.907972296373723	-0.2261867628328089	0.47111153079122486	-0.4801129839741591	0.6311470562550332	0.7210301265025045
ABCC1	7.6796686397380585	-0.022968501883439435	0.4629896564980626	-0.04960910370475101	0.96043389185922	0.9712967870554661
ABCC10	4.660389090439096	-0.23781614836550777	0.600757756524138	-0.3958603043953416	0.6922080864460479	0.7727587008400464
ABCC4	1.6557035122851649	-4.433950805973992	1.888595669047519	-2.3477501715389293	0.018887184812999433	0.04260903391089991
ABCC5	16.095478264752874	0.838076927721204	0.3624229132210272	2.3124280975306175	0.020754103456316845	0.046083490927642405
ABCC9	10.499574678612513	7.6363066520683045	2.42295200916341	3.1516541075466646	0.0016234846628891202	0.005593298985164989
ABCD1	6.838749170759187	0.9605354829980493	0.5196152113454426	1.848551508934716	0.06452260014353907	0.11467495333933264
ABCD2	1.1060194582771532	4.535902159674844	2.61309725667003	1.7358336541423331	0.08259325160393662	0.13929575464579594
ABCD3	9.719504540732256	0.2800690308637977	0.4307892830486527	0.6501299867113155	0.5156082609292341	0.6158525775284304
ABCD4	15.959889634481652	-1.7173485499818286	0.4019127654045064	-4.272938552358241	1.9291363260860908e-05	0.0001195585729289963
ABCE1	13.986610401868688	0.03668438338256534	0.3770263090890842	0.09729926665117028	0.9224887383663287	0.944957697466782
ABCF1	20.91940514091166	0.7551797120404986	0.38051187483413457	1.9846416419190125	0.047184355868790134	0.08994142643818678
