Gene	log2FoldChange	-log10FDR	product
CD24	-11.64667477394558	inf	-inf
MYL3	16.838939469491052	254.77332895333677	4290.11266468597
CRYAB	11.21389364722658	299.69010677049647	3360.692984450326
MB	15.016954017866823	209.66740698600648	3148.565809754228
HSPB7	14.2307955249267	198.5807263664663	2825.961712112602
MYBPC3	16.535251961674717	136.45486880834943	2256.315637143326
LDB3	12.235110314400082	182.27527764543711	2230.1581295798264
A2M	13.533682947439528	164.69717323554065	2228.9593249093305
EPAS1	7.900744496284575	264.15786785290015	2087.0438205890687
MYL2	18.957822259111452	105.57916460992674	2001.5510369404612
CCNB1	-6.898681222136218	274.8834930136404	-1896.3335915284133
DES	13.01533301138727	143.66950966614763	1869.9065118876338
ACTN2	11.06562553231882	159.20774223262092	1761.7332573921235
PTGDS	13.578033327000606	120.30650294771367	1633.5257064789528
VWF	9.694138519621296	168.45023509994547	1632.9799127216447
CSRP3	15.880548450311885	96.18016580877783	1527.393783085327
MYH7	17.875692409586474	83.52957500464184	1493.1489898864602
SEPHS1	-4.85215339224422	301.294429183601	-1461.9267866274954
IGFBP7	9.879321735255779	147.80426841968534	1460.2059215621766
PHC1	-4.992108151896517	292.1946672629697	-1458.6673803841613
CD36	13.25771366889427	109.45131863060591	1451.0742430874861
LMOD2	14.882360311833597	92.59560901724967	1378.0412166883777
TNNT2	11.419274196219579	120.29542872218599	1373.6864851304301
CDH1	-9.142632327031052	148.41491812472293	-1356.9030282607587
AQP1	12.809940308487695	104.25132476829397	1335.4532473626105
EPCAM	-9.021885485590369	142.6537144967109	-1287.0054762834286
ADD2	-6.403936204848696	199.27918998009142	-1276.1712195864288
PTTG1	-8.637714684602622	147.0847077052305	-1270.475739625954
PERM1	10.632930775135765	118.93586458221044	1264.6368147835653
TIMP3	7.16761212568805	176.03070548997667	1261.7198191633788
MYOZ2	16.46171899199145	76.08707494921559	1252.5240467365793
CKMT2	10.94264807460182	112.73272800351336	1233.5945690322562
HHATL	13.914724439255421	88.48030085767634	1231.1790047369814
MAL2	-7.63797341671221	159.031491411613	-1214.6783038219962
FXYD1	10.213550556830855	118.59024056196645	1211.2274175263774
GINS1	-8.15974666783162	145.8326483944334	-1189.957466797538
GATA6	10.379193979164768	114.00770974150446	1183.3081345273874
TUBB2B	-7.440006216997038	152.57174878688653	-1135.134759512546
C7	12.836161069845486	88.38927808671892	1134.579010368488
CLIC5	9.861273109419237	112.84075537756013	1112.7535066512878
NELL2	-8.48926527304016	129.87498393805453	-1102.543190981975
TNNC1	10.855129597895967	100.71134562978682	1093.2347087898295
DLGAP5	-10.465903471655336	104.32159778974889	-1091.8197724763645
CASQ2	17.06338032073648	63.49798040383702	1083.4901892293433
L1TD1	-13.7453794265991	78.00613273391636	-1072.2238920293325
CAMK2B	10.427011749179528	102.70925331224593	1070.9505910362448
FGFR2	-7.2140876771392834	148.16163371780988	-1068.8510160284764
MYOM1	10.965095050268172	95.26767961646809	1044.6191622130682
TCEA3	9.492003966279412	109.32954715915619	1037.7564952662426
CDH3	-10.293670145814124	100.35353354767867	-1033.006172306696
ABLIM3	8.38924557123253	122.59451127377768	1028.475460760956
USP44	-9.079873261253143	111.91489151191095	-1016.1730309750466
KIF11	-6.894050342332861	146.66915265909014	-1011.144522099071
SRL	12.326401511150726	81.98486132930097	1010.5783185809781
CCNB2	-7.546405867906565	132.19943074124717	-997.6305598796553
KCNJ8	8.34774364762322	117.84657581841043	983.7530046822839
PRELP	10.235229432069469	95.17516913319399	974.1396923142568
PLN	12.870596958075117	74.4517192667417	958.2380715179884
PDK4	14.939225637461645	63.64482025408982	950.8043304315369
LGALS3	5.989515982801075	158.2673706068548	947.9449458056579
HAND2	11.910722495346127	78.8846452236625	939.5731184028754
SCG3	-9.078630358468557	103.25110195194685	-937.3785887262767
DTL	-8.182004744702326	111.46913005777394	-912.040951020547
TCAP	12.839121545340797	70.98402996876014	911.3725885470251
RBM20	9.352847441963867	96.83618611767487	905.6940756202323
BUB1	-8.11348537836887	110.4758953250408	-896.3445613819282
TNNI3	9.515358710761987	94.18812293646151	896.2337760337799
VRK1	-4.0278007253768715	222.2362609855232	-895.123373202534
AQP7	12.475022021622387	70.99455097939284	885.6585868831189
HSPB8	6.6823161132173565	132.4269710883439	884.9188827282094
TGM2	9.936165645346058	88.85782617356028	882.9060797458615
SYNPO2L	11.370752685343172	76.80539199577495	873.335117284793
PGM5	12.822109841947714	67.8642416304676	870.1627605263365
SYNPO	8.152456225293978	106.69717934743065	869.844083992269
PXDNL	9.818231461322508	88.0074959559444	864.0779656268668
LRRC32	6.914564243700627	123.78362742998237	855.9098441829162
ZIC2	-12.409936159992167	68.74232538699397	-853.087869542004
FABP3	8.386355205540946	100.43838242985264	842.311951326707
TECRL	14.621629505708816	57.28092552802171	837.5404708148316
ESRP1	-8.977489682835557	92.15887181609321	-827.3553209107414
HSPB6	10.608070225006548	77.85855934820054	825.9290651835514
CDCA7	-6.146453998108086	131.36809318794644	-807.4479415988891
BCO2	9.6805779221566	83.29654501797046	806.3586946928881
LRRC39	7.20852585387716	111.55852536170744	804.172514290279
TNS1	8.169921459639843	98.20113042368035	802.2955228093172
LIN28A	-17.516845610575338	45.299268609224306	-793.500294499764
PEBP4	10.768998364947787	73.54384267181018	791.9935214847012
XIRP1	14.559349064449613	54.05931589727968	787.068450333845
POPDC2	11.62114358370606	67.30615954214603	782.1745441071067
CMYA5	10.104964566057268	77.26096014047174	780.7192645590299
PRR11	-6.298451884020327	123.32152662768695	-776.7347017284178
