Gene	log2FoldChange	-log10FDR	product
CD24	-9.128486490928125	170.92710153454357	-1560.305737291581
VIM	6.576662248402495	84.17853443024	553.6137895132091
PHC1	-7.244570621799728	54.24528205430987	-392.9837767418932
LGALS1	6.726619792611674	58.4039534696181	392.8611893755044
TUBB2B	-7.78674803677302	40.61694036531148	-316.273880649316
DNMT3B	-9.266688230563934	34.128688413504484	-316.25991524600573
LIN28A	-12.705048386008835	23.391429372322843	-297.18924199327
CD59	5.60948228288203	45.399528339591875	254.66784987214123
CAV1	6.250467813869095	38.074780421215216	237.9851895429389
USP44	-7.992059171389529	28.13545524891625	-224.86022316332077
TIMP3	8.763959932620505	24.89458990489274	218.17518846549888
ANXA1	9.641128393366323	22.613754202499738	218.02210772232723
STK26	-7.04379447649617	30.479275123938855	-214.68974976560762
CXADR	-7.303618347054553	29.345416754222615	-214.32772420810238
COL1A2	7.879482119918144	24.20836452449076	190.74937542318565
RPSAP58	-7.584215259658598	24.380916988361648	-184.91012266760197
TDGF1	-12.20881727082974	15.050234677191215	-183.74556505693278
SPINT2	-6.995463422846454	26.16191276162408	-183.0147037956411
MAL2	-7.755354508668733	23.480761901661836	-182.10163268103014
JARID2	-4.821191458934699	37.608245982100904	-181.31655431442007
DPPA4	-12.143818652149607	14.87684343325097	-180.66168876982252
S100A6	8.200866544527322	21.816877472103016	178.91730056702144
CCDC80	11.158297526899824	15.518863966148604	173.16410141377077
CTSB	4.453268650154566	38.36994957326322	170.87169354262468
FN1	6.558959214516159	25.982712035515014	170.41954852346112
SH3BGRL3	4.407100309948463	38.43228813489198	169.37494895131107
THBS1	6.61865654296764	24.371532357827995	161.30680210228581
MMP2	4.376539062116835	36.68763806395775	160.56488108371556
SFRP2	-12.026230429698007	13.038160797132985	-156.79992612577632
PRSS23	7.643072138534048	20.41219425653449	156.0118732084635
L1TD1	-11.906810507350448	12.92704908364421	-153.91992385816985
THBS2	6.56086242947691	23.43702455177912	153.76709384049556
SERPINE1	7.130821150442679	21.5094861831495	153.38029900995704
CLDN6	-11.779192707017435	12.956548778618371	-152.61768488121717
PTPRZ1	-6.545607729441276	23.312647428360968	-152.59544520081883
IGFBP2	-5.302693823518192	27.93565516893474	-148.1342261202443
IGFBP7	11.585405448945467	12.710665184341607	147.2582096863927
SEMA6A	-8.895541362218683	16.40457626633683	-145.9275867068702
SERF2	6.337353492068642	22.94002097191879	145.37902201451743
KRT19	-5.328689579711834	26.933781025212898	-143.5217582912923
EPCAM	-11.248565146221134	12.709078817958229	-142.95890103226222
GNG11	5.751172984192946	24.19811332316969	139.16753561265293
TIMP2	4.641113091195491	29.9232196900236	138.8770466340872
COL1A1	7.9174235797771715	17.40791890695302	137.8258676287587
SOX2	-11.006852862163084	12.394800986566315	-136.42775071492926
GTF2H5	6.329562885398381	21.30076214653768	134.82451351342365
SALL2	-5.485565423490179	24.36658649042586	-133.664504340363
AIF1L	-7.156424808557157	18.53878906262991	-132.67144996841276
CDH1	-8.548799483041085	15.243683279719034	-130.31519174130412
FBN1	9.802774566951697	13.27251905107558	130.10751219326556
COL3A1	11.009174482537846	11.782402323634557	129.71452300435217
COL6A3	10.076243923971697	12.837915720594237	129.35797027609843
TPM2	3.2915591542296565	39.25675041533196	129.2159161948948
SRGN	10.356568175114521	12.14808341472235	125.81245408155003
VASH2	-7.005397050066402	17.86864967401546	-125.17698571501789
AASS	-5.581627368669412	22.253965661391387	-124.21334379705145
TIMP1	6.9466381290636585	17.855682375306472	124.0369640087539
SLC7A8	-6.963924105746202	17.738373654412218	-123.52868788869459
CYBRD1	6.096953441756268	20.257359675694467	123.50817879562001
NR6A1	-8.455181640515773	14.507330473196806	-122.66211426986864
HIST1H4I	-10.183761670657896	12.036719915082406	-122.57908691166077
HIST1H2AJ	-12.60391777447989	9.658753897353906	-121.7381399261858
SCD	-3.521657555565273	34.200078014639395	-120.44096314117661
CSRP1	5.654670268599881	21.196269940620954	119.85791743844668
LPCAT1	-6.011095576820541	19.937710391346567	-119.84748274535228
LAPTM4B	-3.7637986393086047	31.77665960194721	-119.6009481715816
SLC7A3	-10.947602676501312	10.504957748916944	-115.00410356857633
SERPINE2	6.130980989166936	18.56151687503717	113.80030709095416
TDRP	-7.432984474391033	15.25023475808167	-113.35475818763955
TRIM71	-10.37083519196653	10.738467471274014	-111.36687635887637
VSNL1	-9.058942393520047	12.214779773297172	-110.65298631583293
LOXL2	4.1104322607481985	26.845672909410062	110.34731998833307
NNMT	10.810047294219466	10.113205242711398	109.32422696985847
FHL2	3.615080881903928	30.20584933606554	109.196588456481
C1R	7.985449451415579	13.65086033726506	109.00825519156396
GPM6B	-6.129872509696247	17.773308865827367	-108.94811742297576
ZIC2	-6.329653690245682	17.12867247660831	-108.41856495057343
HIST1H4D	-10.264444843226135	10.46942403155632	-107.46282551225605
LGALS3	5.215092272057331	20.33600064627821	106.05411981495838
ANXA2	4.907944919248898	21.533279101359334	105.68414776028501
MINOS1	4.737694468016709	22.22498592637609	105.29519287514121
LUM	10.645496214055797	9.862960621665948	104.99610995732625
PODXL	-5.169102672630086	20.270134218857457	-104.77840496526665
CEMIP	8.736064704401734	11.89397594782002	103.90654347275364
ARID3B	-6.174299757283655	16.806032504909084	-103.76548241596137
AHNAK	7.759223044765878	13.188099359024182	102.32940446320254
SEPHS1	-4.024276046164142	25.355635453273305	-102.03807638987804
LRRN1	-10.316036927883612	9.806954507318103	-101.16890484756819
BGN	8.16733177676061	12.326572750030545	100.67520931987589
LIN28B	-9.889028366295776	10.140977576753116	-100.28441491848096
CD44	8.430226179631735	11.834224941389818	99.76519291655528
HIST1H1D	-8.988579037564861	11.066915262823104	-99.47584254191837
GPNMB	9.3110747555364	10.638092971947401	99.05207891814864
SALL4	-8.964654354502677	11.027957649252487	-98.86182856164241
HEXA	4.647879318204331	21.18106394052958	98.44702902675097
HIST1H2BH	-9.214651860481167	10.661507258387456	-98.24207769403344
NANOG	-10.161418341670746	9.596817329500574	-97.5172756336508
ZFP42	-10.02794667105153	9.704969876610505	-97.3209203668117
NIPSNAP1	-3.2710828550205067	29.73173368218748	-97.25496429783918
IQGAP2	-6.038009503272999	16.0398457431224	-96.848741028006
ESRP1	-9.791055274770333	9.879045428339307	-96.72627985083732
IL6ST	5.392606398683145	17.848212916412194	96.24838717810356
HIST1H4H	-8.88322153224272	10.711046502222372	-95.14859892139485
CRABP1	-9.872983819241078	9.632456548486696	-95.1010876427519
PDZD4	-5.950457598550347	15.963478567069433	-94.99000233871392
HIST1H2AL	-10.335284068745056	9.166550869857613	-94.73890717058052
COL5A2	5.147655950651191	18.344102755079074	94.4291297065397
DAB2	7.083520577720935	13.262065330691724	93.94211267303423
DCN	10.493399745029441	8.927510143122516	93.67993265958957
HIST1H2AE	-9.183957156241474	10.163285694635885	-93.33918038617784
NME2	-9.082282606412209	10.277025458480393	-93.33884956721192
RCOR2	-6.7214473516613475	13.659232531100661	-91.80981232189306
ATOX1	4.165208459078262	22.026149807741177	91.74350550012859
ZNF219	-4.771119199439824	19.168967841246996	-91.4574305008181
IMPA2	-4.472882992256839	20.429561615901232	-91.37903869102776
HIST2H2AC	-7.767201352627669	11.70216085110383	-90.89303959136022
SPOCK1	5.473531135404661	16.47772036039203	90.19131543309709
TNFRSF11B	9.72876838708939	9.23090260097794	89.80531340869541
VAMP8	-4.578706831231274	19.596279868956735	-89.7256205027121
TFPI	8.45698093658843	10.574984013232285	89.43243820463285
IGFBP3	8.313103800106214	10.733607235128533	89.22959109519456
ARHGAP29	5.66792482304505	15.68937648139741	88.92620641701158
PARVA	5.918004558526135	15.015191394397428	88.85997111918638
COL5A1	6.7413025739744326	13.175265181244862	88.8184490791217
MFAP4	7.947097772171225	11.174170913611619	88.8022287734234
TSPAN13	-4.4407206248140305	19.934365680154023	-88.52294881844495
DSG2	-9.607774582407286	9.210115885520118	-88.48871730592576
CBS	-9.807953770499076	8.970405003822048	-87.98131758014023
EFEMP2	5.329051223338103	16.49365788049537	87.895547705374
SPARC	5.765728066794607	15.167171517284302	87.44978651109385
TSPO	4.564334564942369	19.033326386703838	86.87446951266197
ACTA2	11.877506436314313	7.287886752545273	86.5619218104863
CYP2S1	-9.532443409298017	9.053941478561914	-86.30618477548745
PIM1	-3.228388430792432	26.70405647964383	-86.21106699410981
ZSCAN10	-9.706715576533545	8.871650106678091	-86.11458428004772
PLP1	-7.80655506162219	10.952109096243792	-85.49824270072041
KRT8	-3.591916734077022	23.71592246412856	-85.18561876297655
VRTN	-9.485178251158379	8.972253606589224	-85.10342477309743
ACACA	-5.060342974043896	16.806488639697726	-85.04659670624294
NUPR1	9.237868888867048	9.202112075004813	85.00790484955476
USP28	-3.521506635913622	23.803109909236195	-83.82280950075655
SPRY4	-4.3610908120012555	19.08063764766538	-83.21239353235873
GABRB3	-8.442611734816028	9.850518231836492	-83.164100818122
PDPN	-8.561888626629836	9.679204677507885	-82.87227244317707
HIST1H2BG	-9.127679529943215	9.069817118035237	-82.7863840486188
CAV2	6.447943873939544	12.73270261307628	82.09975181267922
HIST1H2BC	-7.960181491994293	10.31105159155344	-82.07784204208198
HIST1H3I	-12.72859734840994	6.440535446382028	-81.9789824051585
MAP7	-7.222409577061002	11.333482215960936	-81.85505049800682
INHBA	9.881921917158001	8.281896818138181	81.84105768280081
GAL	-9.978289708004416	8.169534683176831	-81.5179838483285
INPP5F	-3.702980709833002	21.96941443922167	-81.35231787476445
ITGA11	9.525754105192311	8.534666900651455	81.29913826532953
CRYAB	9.680738328012056	8.388428086612866	81.20617728984601
PMP22	6.530310537482653	12.361728119388609	80.72592339953906
COL12A1	9.286563763023556	8.667880244519862	80.49482258098591
CPVL	-7.1932909723808995	11.122161344682901	-80.00494279407131
ALPL	-9.230914256344544	8.596433652438444	-79.35294195601404
LOX	9.3401125826732	8.47091710782533	79.11931946558103
S100A16	4.358176894524879	18.14316045892324	79.07110270573668
CDH13	9.113147773937444	8.667674369881855	78.98979738910346
PTX3	6.931937650334791	11.375472182203355	78.8540639101515
CDH3	-9.147811969147188	8.619890143553528	-78.85313422793284
ENG	6.975509357576809	11.27264276412333	78.63242508576279
EHD2	4.61114704833003	17.02050993466081	78.48407414628315
GLDC	-9.17151229165357	8.49101610840883	-77.87545860690005
AK1	4.827925219917778	16.023400833956313	77.35978099510923
FRAT2	-5.361765495600084	14.406510846603119	-77.24433276930496
PROM1	-9.067297145722362	8.497885301429223	-77.05285113832521
SEMA3C	8.510041344677365	9.013782268968235	76.70765978083944
TRIM24	-3.269973361738962	23.32024782812918	-76.2565891871333
NFE2L3	-4.727367933877437	16.129662220721755	-76.25084796651436
CAPN2	3.1741253443504425	23.99911447573385	76.1761974993944
ACVR2B	-4.9924711290300765	15.225812394076932	-76.0144287934574
FZD5	-6.120001035738617	12.419659999964273	-76.00833206330282
SPINT1	-9.099740104486314	8.35030712339253	-75.98562461551276
FLT1	-8.190977065195694	9.258305312085973	-75.83456647387567
PIM2	-5.885711263340755	12.871977553691892	-75.76074326923374
MYOF	8.543250686007752	8.789784923648485	75.09333607882051
B3GNT7	-6.061574411794401	12.330641279624976	-74.74309966159052
P4HA2	5.831918760893614	12.795341216515979	74.62139049263486
KDR	-7.076083505382066	10.485333032485284	-74.19509211960684
AP1M2	-5.337290852951926	13.852773806344086	-73.93628292461233
RDH14	-5.551578879562994	13.307560550990077	-73.8779720933822
