Gene Name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	2.0252785217881	-4.819173661186929	1.8257503798849755	-2.639557802798071	0.008301426531806957	0.026475201103422864
A1BG-AS1	1.4366879434953392	-4.323820983032988	2.1573292981704557	-2.0042470969544826	0.04504359778425945	0.09966604242436966
A2M	144.81128463661486	4.016285457447631	0.3054533095034909	13.148606783720998	1.7333890455930545e-39	5.73955702214312e-37
A2M-AS1	2.0364225081409435	3.63669706009727	1.630767029588689	2.230053094104138	0.025743918282907542	0.06444852835867759
A4GALT	25.83407604356366	2.0174130658745666	0.3830701072607185	5.266433030498801	1.3909995679250062e-07	1.9357074333374187e-06
AAAS	21.074756565223108	0.6544675991265102	0.3339826163279259	1.9595858201311627	0.050044220075181	0.10795129902402524
AACS	7.472660462789528	-1.6630521348111094	0.5530475007088604	-3.007069252965644	0.0026377966256591456	0.010386958521046052
AADAT	1.8436011877687648	0.0059237800179971845	0.957812599014855	0.006184696279929922	0.9950653577837382	0.9977240646534845
AAGAB	8.561567577459924	-0.163359703608108	0.4528413208206031	-0.36074381046341025	0.7182909708396518	0.8062332751458424
AAK1	9.25754269485868	-1.2135056366406243	0.6545705849435094	-1.8538957670170162	0.06375407362857227	0.13004953087705504
AAMDC	25.15283617263143	-1.5401784961656024	0.38323111665360426	-4.018928602704624	5.8463381927519395e-05	0.00040653693405118594
AAMP	47.307294500493626	0.29145200648894093	0.26118941854510885	1.1158645251113248	0.264480128779247	0.3944253927403315
AAR2	12.23443759695412	-0.7110611302921881	0.39348620380923827	-1.8070802061383324	0.07074977441139778	0.14107349633785268
AARS	33.49956328774724	0.47207626537901387	0.30306697851422687	1.5576631531859657	0.11931311948070737	0.21300306090183477
AARS2	3.2901885311001067	2.203034870529258	0.924226051680294	2.383653724674845	0.017141723448605255	0.0470874511067396
AARSD1	23.95821204866337	0.6612887687583873	0.31253748520314356	2.1158702557824767	0.034355843794620505	0.08037782407311672
AASDH	2.361441528359643	0.053390551021333006	0.828975909264653	0.06440543135770174	0.9486474054099965	0.9703682073510576
AASDHPPT	11.398781074184253	0.6632562082666819	0.425821853321764	1.5575908166589685	0.11933027700739963	0.21300306090183477
AASS	11.373547588262074	2.3250840751460173	0.7573251388061838	3.070126628585424	0.0021396803143800065	0.008772221769588534
AATF	12.699320576181222	-0.12501030241445343	0.3773477085136318	-0.331286767069204	0.7404278858509132	0.8247489006539607
AATK	1.8208195768196163	4.949152960867497	2.5124747694338097	1.9698319048126391	0.04885763873275171	0.10598059669620784
ABAT	4.80057524224131	0.9292615842887398	1.1557203610960098	0.8040540043851859	0.4213657866734666	0.5567111872280116
ABCA1	2.3483096773493277	0.7215640466171273	0.9153827511165963	0.788264849580084	0.4305418036251575	0.5650547476348826
ABCA10	6.115507541687609	4.1437550182568454	1.4883286275547956	2.784166709918563	0.005366544318727905	0.018647085166740355
ABCA2	11.522355153566867	-0.12890639715741642	0.40151413781604195	-0.3210507053589139	0.7481719657765202	0.8313185936352215
ABCA3	3.926108422609296	-0.2350460954785514	0.6515018360739383	-0.3607757990291776	0.718267055660982	0.8062332751458424
ABCA5	4.093818003784714	0.4783003022893566	0.6654922251444408	0.7187165893418883	0.4723155597255222	0.6032086912892528
ABCA6	9.58395063130862	3.1658444744582264	0.7875501871829825	4.019863782627305	5.82318007332432e-05	0.00040567674050424006
ABCA7	2.0421804122046936	-0.45377281213116677	1.0060671118694147	-0.4510363242945024	0.6519633692199165	0.7572272372514
ABCA8	34.716639465092456	3.3350780620287956	0.8548681910484306	3.901277526701019	9.568637519740066e-05	0.0006284931225042804
ABCA9	14.61459055776524	4.421463342909219	1.0908516320963029	4.053221549856821	5.051711954338902e-05	0.0003616957116287908
ABCB10	5.017327305625396	-0.7566820286675677	0.5811791086522006	-1.3019773377993096	0.19292413271321518	0.31001140252431864
ABCB6	15.73740023679187	0.6497480135592707	0.37092410511073237	1.7517006972768747	0.07982528693905619	0.1554528767271916
ABCB7	13.782449767634535	0.7208359049462483	0.4904379385303756	1.4697800645404246	0.14162133008021477	0.24273415950771382
ABCB8	6.347163390785701	0.5923721196721375	0.5622586531427216	1.0535580312745707	0.2920853124233568	0.42522907633029233
ABCC1	7.282151760275551	-0.08322012262194577	0.49084362436887413	-0.1695450821612485	0.8653679151605733	0.916233611292931
ABCC10	4.002605962926984	0.22059255073120762	0.6767078031386021	0.3259790262622792	0.7444402237735853	0.8282348096890032
ABCC5	13.6507722400441	1.8598410447221572	0.4582994918925426	4.058134642571749	4.94662471414025e-05	0.0003560684209193794
ABCC9	10.098934848838057	3.8551283567364507	0.8561690938105333	4.502765148387352	6.7074992110422385e-06	6.266641171611082e-05
ABCD1	6.692015847453121	0.6227056942329292	0.5314697732634575	1.1716671870335036	0.2413307018607328	0.36759586545097145
ABCD2	1.4275006584849108	0.18181786266117395	1.0710533173210193	0.16975612672200796	0.8652019318438945	0.916205356504478
ABCD3	9.779391844544298	-0.0925965949391552	0.45170550392269243	-0.20499328464016842	0.8375773716985707	0.8965056142405884
ABCD4	9.096089111360003	0.06552028782212764	0.5052848658943223	0.12966999853866762	0.8968275198204877	0.9379862707301236
ABCE1	14.343650167350315	-0.38065100985670663	0.38876657699101747	-0.9791248332170839	0.3275183028437304	0.46304169953719915
ABCF1	21.38483487783882	0.19950282194947186	0.38333426081044103	0.5204408850064307	0.6027563200784489	0.7167121516099682
ABCF2	13.931197216068997	1.7541066216824932	0.45372495435927684	3.8660131095490162	0.00011062899387011433	0.0007092603718620428
ABCF3	29.754925289791952	1.7520727221360073	0.33395902519009446	5.24637033282362	1.5512493602692576e-07	2.142817827964577e-06
ABCG1	2.6742837097739645	4.011196408528163	1.6950711784229116	2.3663881845127985	0.017962599327900553	0.048815053970802505
ABHD10	18.684711954631883	0.7150250185007109	0.347621559629771	2.0569064222087876	0.03969522810872475	0.09029882361043104
ABHD11	9.758875358456683	1.7262441211891202	0.5066728271879394	3.4070193398171065	0.0006567647319737617	0.0032919246914488564
ABHD12	11.176574241116267	0.7437212833853168	0.4319136058567988	1.7219214058097956	0.08508375674566519	0.16345954495609194
ABHD13	3.040581593883374	-0.024868472275985938	0.7498089797544033	-0.03316641030910499	0.973541884068109	0.9865107588513745
ABHD14A	15.52871883389902	1.9842581932223928	0.4488542176777583	4.420718609904949	9.837320736930578e-06	8.692979345083552e-05
ABHD14B	11.896303029872374	-0.16407641934171502	0.4974682000164494	-0.3298229300612373	0.7415337603123917	0.8255722976262763
ABHD15	3.0703029110849362	0.431333200121827	0.7457949474336539	0.5783536099380702	0.5630254069779654	0.6815634442750467
ABHD16A	16.079114913137644	-0.24493771181382856	0.34312150681811987	-0.7138512362143009	0.4753191734649467	0.605675524037167
ABHD17A	35.820899530296536	0.9074027368588294	0.37153621539413606	2.442299563977178	0.014594031084537351	0.04139571729647808
ABHD17B	4.200343642511059	-0.42633870577456245	0.6247129734647081	-0.6824553417068543	0.4949510720828053	0.6231446174802306
ABHD18	3.3678583669505366	1.10989846160573	0.8050063061222678	1.3787450522619307	0.16797337361425546	0.2782174842061627
ABHD2	12.718023560901711	1.0611778881174625	0.5011714822611741	2.117394795349616	0.03422635555276894	0.08015816742522837
ABHD3	2.3415587127900794	2.0845727574179977	1.1035365670677466	1.8889929157100824	0.05889277797246973	0.12248566310993243
ABHD4	15.795118300827713	-1.5924319703116598	0.3646959425500046	-4.3664647299806925	1.2627366678008782e-05	0.00010810562286009344
ABHD5	6.359183645449906	-0.8785639109220394	0.5861708870859595	-1.4988187408788893	0.13392066139714884	0.23320631183435447
ABHD6	3.079933152113287	-0.6398898573151611	0.7362093249839938	-0.8691683677452375	0.3847550463708209	0.5213736533513122
ABHD8	6.033906979332808	1.6934573935073933	0.6354610874263695	2.6649269750976106	0.00770050423313297	0.024976167287989334
ABI1	10.52783480042521	-0.7481379051321866	0.44721309407671245	-1.6728890880906433	0.09434913232697749	0.17715585803302264
ABI2	8.795926833122806	-0.8763820731374681	0.4559737418059985	-1.9220011873191138	0.05460560835327896	0.1153376995949746
ABI3	2.6697524536797848	5.332989579810803	2.5390762751420253	2.1003660394221506	0.03569665403865316	0.0827750630622363
ABI3BP	19.16873893328373	-2.7095654722384426	0.5327385524154458	-5.086107359704354	3.6548721357657636e-07	4.675744375505792e-06
ABL1	19.241155184017963	-0.29076562425580366	0.3403711413273604	-0.854260508461123	0.39296066336878155	0.5286116797951659
ABLIM1	154.09250994327266	7.073591411652292	0.7049953750615261	10.033528817171275	1.0856569137735715e-23	1.3002473973683903e-21
ABLIM2	2.351582914717613	5.328809060120558	2.479616209426549	2.1490459047099595	0.03163076124545137	0.07498312740424024
ABLIM3	45.04054553344731	2.2336278414316704	0.2977762977533771	7.5010263015681495	6.332008226783643e-14	2.449682083062895e-12
ABO	2.620246837605938	5.343401608199173	2.6173251352158067	2.0415505648512378	0.04119613325841755	0.09290586302549375
ABR	28.410878209026134	2.298074254783184	0.49058108105678017	4.684392332930596	2.807917163207233e-06	2.871165433550139e-05
ABRA	13.242244684321463	7.766821891976204	2.408950258380312	3.2241520408969855	0.0012634629889789366	0.005710183191459201
ABRACL	4.603758322106316	-0.0028012779816413624	0.6979386964746821	-0.004013644745291723	0.9967975834233249	0.9986507957479025
ABT1	5.82810749315055	0.5442970196610379	0.5583343626378294	0.9748585365398744	0.3296304359737733	0.4652485465374402
ABTB1	24.013151756869664	2.1776987486524964	0.6351513105673823	3.428629859406497	0.000606636243380414	0.0030775187264964394
ABTB2	5.591453252415775	2.2276524061263467	0.7500280502859489	2.9700921255905723	0.002977104541105068	0.011478165384849607
AC000123.3	1.6148812136362276	3.0833347403893256	1.7206206934773107	1.7919898046547493	0.07313459917083427	0.14480193865023802
AC006007.1	1.4495816675177384	4.5281285030764495	3.6107934177338312	1.2540536051819733	0.20982252203435292	0.3306525690177415
AC006538.1	3.4167465235261614	-4.931773033256683	1.3908125882567937	-3.5459651968192443	0.0003911778667693551	0.0021020908945534127
AC007009.1	1.9495738765847619	4.910255407149353	2.6534785462837194	1.8504974965885144	0.06424187852287942	0.1308364476594469
AC007126.1	1.6799317036677868	4.886920993777385	2.653615011247452	1.8416088894070828	0.06553237981720941	0.13280727198176498
AC007743.1	1.9887717496144366	4.8983337765126755	2.5581271489751023	1.914812474616503	0.05551642301234192	0.11684499724676486
AC009120.6	2.2629345941170507	5.2212500124918755	2.6172074351773036	1.994969883668453	0.04604616462495172	0.10138621579262791
AC009506.1	2.349855601072381	1.426470706165016	0.9571361240772003	1.4903530127862568	0.1361314402688017	0.23544787892101998
AC010642.2	1.6333861690857978	-4.508911309997497	1.9108779612236624	-2.3596019219930406	0.018294554608303072	0.04949773991354866
AC024560.3	8.40081458120591	7.109462863259769	2.4117536804763544	2.9478395413314153	0.003200031165262657	0.012162711295924037
AC053503.6	14.025287283627248	2.674187681856158	0.6000077931244909	4.456921580852387	8.314500088847454e-06	7.500371955147808e-05
AC083843.1	3.624890644929658	5.953961026317253	2.4561627225706326	2.424090623802728	0.015346775245613668	0.04306250861688383
AC083843.4	5.231180255465019	6.415998838207143	2.448945903115837	2.619902232239575	0.008795497887721729	0.027728847723318743
AC092066.1	6.88219504124246	6.876054159005276	2.4294883907542584	2.830247794215859	0.004651196549273678	0.016628507701404595
AC092171.4	1.4598923984523782	2.1564426753436994	1.3373865492914387	1.6124303601574317	0.10686832270626824	0.19598038394317768
AC093323.3	3.981161421997691	6.083956948754496	2.4432354413662996	2.490123074406714	0.01276988663458932	0.03715776266017228
AC144831.1	2.407311385101171	-2.59515720567152	1.1228418204295634	-2.3112402463587403	0.020819588481894545	0.05464009543100536
ACAA1	35.47829613556376	1.281429743085001	0.3751401635339111	3.4158692340847296	0.0006357877006697185	0.003206853913145023
ACAA2	82.92195609911414	2.598238260010565	0.6530879286476415	3.978389656337354	6.93835979975871e-05	0.00047169115112127754
ACACA	8.36661273407683	-3.7841699275235814	0.6711030865349417	-5.638731222444697	1.713076798710447e-08	2.8487176661569e-07
ACACB	28.096552289661908	4.42209337314507	0.6902277498938316	6.4067162959258885	1.4868712014606655e-10	3.4873324970925356e-09
ACAD10	8.550701527187314	0.8576508861568446	0.4947931498741707	1.7333523844761212	0.08303305524706521	0.1605362552377268
ACAD11	17.310191031420043	1.7737391062845234	0.43430000666435375	4.084133269782212	4.424163590751585e-05	0.0003230041096282837
ACAD8	13.879419625873226	0.9010249312464512	0.38768658728114636	2.324106535553259	0.020119784859745513	0.05330866979313132
ACAD9	15.668903307549046	0.543355711531804	0.35696385971628636	1.522158887355323	0.1279692737541043	0.22516724605298347
ACADM	78.35605650634248	2.0992284762524354	0.5429657217154482	3.8662265264557103	0.00011053227869786712	0.000709044098906318
ACADS	49.971648266568536	4.336841267544476	0.5232317406236647	8.288566864034642	1.1462112219962375e-16	6.419923351857534e-15
ACADSB	13.490149806490548	1.6404275493860236	0.5179674179346785	3.167047757418788	0.0015399502628298198	0.006735338018235474
ACADVL	517.6861882800358	2.6569702207389576	0.3740160331812511	7.1038939110168275	1.21289975896762e-12	3.92380042714295e-11
ACAP2	4.322893894433038	-0.9032608027882112	0.6282734841220275	-1.4376872900349458	0.15052280096484105	0.25517025948835725
ACAP3	27.954302568077544	2.0070580157236355	0.41182649199946764	4.873552466183331	1.0960914064427758e-06	1.2352149202935707e-05
ACAT1	87.78713860037296	0.7038495381838141	0.5889408509957501	1.1951107432839518	0.23204376508362534	0.35682949150545745
ACAT2	19.71833798121835	-4.5806364590745625	0.5659295783094428	-8.09400433311498	5.773463433211381e-16	2.9146928848024096e-14
ACBD3	10.445905939593768	0.06564248977073488	0.42530143802136794	0.1543434465590424	0.8773389423107998	0.9251668988886272
ACBD4	4.786352620042028	0.22205124606741766	0.6880622646507757	0.32271969772985476	0.74690753306088	0.8302414106634466
ACBD5	15.722749692089689	1.8090627533878323	0.5596683667268949	3.2323834272924215	0.001227622124784978	0.005572810435818258
ACBD6	8.292277173988643	-1.744113224146999	0.48301538080933387	-3.610885477859084	0.0003051533927977133	0.001710013387813169
