Gene
ACTA1
ACTC1
ACTN2
ADAMTS9
ATP1A2
ATP1B2
ATP2A1
BMP5
BMP7
CACNA1D
CACNA1G
CACNA1H
CACNB2
CASQ1
CCDC39
CORIN
CSRP3
CTNNA3
DES
DSC2
DSG2
FGF13
FXYD1
FXYD6
GJA5
GJD3
GPC3
HAND1
HCN2
HCN4
HEY2
HRC
HSPB7
IGF1
ITGA11
KCNH2
KCNIP2
KCNJ5
KCNN2
KCNQ1
KLHL41
LDB3
LMOD2
LRRC10
MYBPC3
MYH11
MYH6
MYH7
MYL2
MYL3
MYL4
MYL7
MYLK3
MYOCD
NEB
NEBL
NKX2-5
NPPA
NPPB
PGM5
PLN
POPDC2
PROX1
RCSD1
RNF207
RUNX1
RYR2
SCN5A
SLC8A1
SMPX
SMYD1
STRA6
SYNPO2L
TACR2
TBX2
TBX5
TCAP
TMOD1
TNNC1
TNNI1
TNNI3
TNNT2
TRDN
